Title,wrong imported  Goonj Office,Correct Goonj Office,Valid
2024/PNB/Coll/019,Goonj Dehradun,Goonj Delhi,1
2024/HRY/Coll/309,Goonj Dehradun,Goonj Delhi,1
2024/DEL/Coll/497,Goonj Dehradun,Goonj Delhi,1
2024/DEL/Coll/000456,Goonj Dehradun,Goonj Delhi,1
2024/DEL/Coll/490,Goonj Dehradun,Goonj Delhi,1
2024/UPD/Coll/440,Goonj Dehradun,Goonj Delhi,1
2024/HRY/Coll/308,Goonj Dehradun,Goonj Delhi,1
2024/HRY/Coll/306,Goonj Dehradun,Goonj Delhi,1
2024/DEL/Coll/511,Goonj Dehradun,Goonj Delhi,1
2024/UPD/Coll/000423,Goonj Dehradun,Goonj Delhi,1
2024/UPD/Coll/431,Goonj Dehradun,Goonj Delhi,1
2024/DEL/Coll/461,Goonj Dehradun,Goonj Delhi,1
2024/TLG/Coll/518,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/581,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/555,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/567,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/554,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/580,Goonj Dehradun,Goonj Hyderabad,1
2024/TLG/Coll/529,Goonj Dehradun,Goonj Hyderabad,1
2024/JRD/Coll/004,Goonj Dehradun,Goonj Jharkhand,1
2024/KER/Coll/204,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/247,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/221,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/222,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/237,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/239,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/240,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/246,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/241,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/242,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/243,Goonj Dehradun,Goonj Kochi,1
2025/KER/Coll/250,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/238,Goonj Dehradun,Goonj Kochi,1
2025/KER/Coll/249,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/230,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/219,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/244,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/224,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/225,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/232,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/245,Goonj Dehradun,Goonj Kochi,1
2024/KER/Coll/226,Goonj Dehradun,Goonj Kochi,1
2024/WEB/Coll/400,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/445,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/583,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/465,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/498,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/569,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/536,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/401,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/561,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/547,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/420,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/541,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/524,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/549,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/545,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/578,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/421,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/537,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/555,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/486,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/460,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/509,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/559,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/474,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/518,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/576,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/427,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/566,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/525,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/546,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/553,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/453,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/528,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/571,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/436,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/550,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/452,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/557,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/535,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/542,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/532,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/544,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/435,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/558,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/454,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/543,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/487,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/570,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/527,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/475,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/450,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/516,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/554,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/567,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/414,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/560,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/573,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/520,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/481,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/432,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/502,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/577,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/418,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/458,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/503,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/582,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/538,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/562,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/551,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/526,Goonj Dehradun,Goonj Kolkata,1
2025/WEB/Coll/575,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/446,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/531,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/530,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/485,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/409,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/413,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/419,Goonj Dehradun,Goonj Kolkata,1
2024/WEB/Coll/438,Goonj Dehradun,Goonj Kolkata,1
