Dropping Center Code,Date of Material Collection (DD/MM/YY),Number of Bags loaded in vehicle ,Material weight (In KGs),Vehicle Category,How much vehicle is filled,Type,To which PU/Center material is being sent
2025/DEL/DC/6757,10/18/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,10/26/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,10/27/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,10/29/2024,Imported Dispatches,600,Tata Ace (750 KG),Full,Dropping Center,7
2025/DEL/DC/6757,11/8/2024,Imported Dispatches,1000,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,11/18/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,11/23/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,12/2/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,12/6/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,12/17/2024,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,1/24/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/DEL/DC/6757,1/31/2025,Imported Dispatches,800,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,11/04/2023,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,20/04/2023,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,25/04/2023,Imported Dispatches,700,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,01/05/2023,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,16/05/2023,Imported Dispatches,1200,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,24/05/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,30/05/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
2025/HRY/DC/6885,06/06/2023,Imported Dispatches,1250,Pickup 8ft (1250 KG),Full,Dropping Center,7
